question,answer
На ком в начале 1731 года Абрам Ганнибал женился? В ответ запишите имя и фамилию.,Евдокия Андреевна Диопер
Является ли А.С. Пушкин сыном Абрама Ганнибала?. В ответе только да или нет.,Да.
Сколько лет прожил Абрам Ганнибал? Ответ дайте числом.,85
В каком году Абрам Ганнибал был отправлен в Сибирь? Ответ дайте числом.,1727
Куда был ранен Абрам Ганнибал участвуя в Войне четверного альянса?,Он был ранен в голову во время Войны четверного альянса.
Какой размер жалования Абрам Ганнибал получал в 1716 году? Ответ дайте количеством рублей в год.,100 рублей в год.
Разграничением земель с какой страной в 1745 году Абрам Ганнибал занимался?,Со Швецией.
В каком звании Абрам Ганнибал был отправлен в отставку императором Петром III в 1762 году?,Генерал-аншеф.
Как звали вторую жену Абрама Ганнибала?,Христина-Регина фон Шёберг.
Сколько всего детей Абрама Ганнибала дожили до взрослых лет? Ответ дайте числом.,7
