question,answer
Кого убили раздетой на крыльце?,Раздетую на крыльце убили Василису Егоровну.
Где Маша остановилась в Петербурге?,Маша остановилась в Царском Селе в Петербурге.
Почему Гринев и Савельич сбились с дороги?,"Гринев и Савельич сбились с дороги из-за бурана, который застал их в пути."
Кто издевался над Машей и морил ее голодом?,Над Машей издевался Швабрин и морил ее голодом.
Куда приговорили отправить Гринева в ссылку?,Гринева приговорили к ссылке в Сибирь.
Сколько детей было в семье Петра Гринева?,"В семье Петра Гринева было девять детей, но все, кроме Петра, умерли в младенчестве."
Кто воспитывал Петра Гринева?,Петра Гринева воспитывал дядька Савельич.
"Сколько казаков попросил Гринев, чтобы очистить крепость?","Гринев попросил полсотни казаков, чтобы очистить Белогорскую крепость."
Как далеко находилась от города Белогорская крепость?,Белогорская крепость находилась в 40 верст от города.
Как звали дочку коменданта?,Дочку коменданта звали Маша.
Что Петя подарил вожатому?,"В предоставленном контексте нет информации о том, что Петя подарил вожатому."
Какое напутствие дал Петру отец?,"Отец велит Петру беречь ему «платье снову, а честь смолоду»."
Кого Пугачев оставил комендантом Белогорской крепости?,Пугачев оставил комендантом Белогорской крепости Швабрина.
Почему Швабрина перевели в крепость?,Швабрина перевели в крепость за дуэль.
Кого просил пощадить Савельич у Пугачева?,Савельич просил пощадить Гринева у Пугачева.
